YYMMDD,TIME,LOCATION,LAT,LON,DEPTH,MAG,EVALMODE
19861226,074751.00,Assen,52.992,6.548,1.0,2.8,manual
19871214,204948.00,Hooghalen,52.928,6.552,1.5,2.5,manual
19891201,200916.80,Kwadijk,52.529,4.971,1.2,2.7,manual
19910215,021116.54,Emmen,52.771,6.914,3.0,2.2,manual
19910425,102631.58,Eleveld,52.952,6.575,3.0,2.6,manual
19910808,040114.22,Assen,52.965,6.573,3.0,2.7,manual
19911205,002455.00,Middelstum,53.358,6.657,3.0,2.4,manual
19920523,152911.43,Geelbroek,52.953,6.572,3.0,2.6,manual
19920524,180005.95,Assen,52.956,6.562,3.0,1.6,manual
19920611,170937.00,Roswinkel,52.831,7.032,1.5,2.7,manual
19920722,232313.20,Assen,52.961,6.57,3.0,2.6,manual
19921206,203432.01,Loppersum,53.32,6.74,3.0,1.3,manual
19921211,130050.05,Froombosch,53.21,6.747,3.0,1.4,manual
19930212,114600.91,Tjuchem,53.294,6.868,3.0,1.0,manual
19930305,222725.22,Langelo,53.084,6.465,3.0,1.5,manual
19930312,221241.52,Sappemeer,53.16,6.805,3.0,0.9,manual
19930326,183421.16,Overschild,53.285,6.795,3.0,1.1,manual
19930505,200832.79,Westerbroek,53.177,6.685,3.0,1.5,manual
19930514,193942.00,Wirdum,53.305,6.793,3.0,1.1,manual
19930627,020851.80,Westerwijtwerd,53.316,6.65,3.0,1.4,manual
19930627,025710.06,Stedum,53.315,6.66,3.0,1.0,manual
19930710,002234.51,Oosterwijtwerd,53.333,6.837,3.0,1.4,manual
19930727,133918.07,Oosterwijtwerd,53.336,6.808,3.0,0.8,manual
19930823,005121.69,Appingedam,53.332,6.848,3.0,0.7,manual
19930904,022450.15,Het Zandt,53.363,6.765,3.0,1.4,manual
19930922,173703.82,Eppenhuizen,53.368,6.675,3.0,2.0,manual
19930925,002133.46,Slochteren,53.208,6.812,3.0,0.9,manual
19931123,123147.68,Slochteren,53.202,6.82,3.0,2.2,manual
19931222,020442.79,Ten Post,53.294,6.753,3.0,1.6,manual
19940204,213238.91,Garrelsweer,53.306,6.777,3.0,1.3,manual
19940205,151005.80,Roswinkel,52.833,7.045,1.5,2.9,manual
19940228,210016.59,Garsthuizen,53.37,6.72,3.0,0.6,manual
19940302,103638.09,Overschild,53.279,6.807,3.0,1.5,manual
19940306,200231.23,Appingedam,53.323,6.805,3.0,1.0,manual
19940314,093101.18,Leermens,53.345,6.808,3.0,1.3,manual
19940314,104400.00,Zandeweer,53.39,6.68,3.0,1.6,manual
19940314,223209.67,Kolham,53.17,6.747,3.0,1.1,manual
19940324,052903.80,Farmsum,53.316,6.962,3.0,0.8,manual
19940404,184611.65,Overschild,53.275,6.828,3.0,1.3,manual
19940507,200853.67,Froombosch,53.194,6.798,3.0,1.0,manual
19940510,013411.97,Schildwolde,53.226,6.835,3.0,0.8,manual
19940605,021450.79,Meedhuizen,53.294,6.95,3.0,1.0,manual
19940606,040826.16,Zuidbroek,53.156,6.823,3.0,1.0,manual
19940608,222024.55,Huizinge,53.359,6.682,3.0,1.5,manual
19940626,174438.88,Appingedam,53.335,6.852,3.0,1.0,manual
19940627,205853.88,Roodeschool,53.423,6.77,3.0,1.7,manual
19940701,062742.61,Onderdendam,53.324,6.613,3.0,2.7,manual
19940719,081729.67,Garsthuizen,53.372,6.743,3.0,2.0,manual
19940730,091820.78,Toornwerd,53.351,6.628,1.0,2.7,manual
19940730,095329.68,Warffum,53.365,6.577,1.0,1.3,manual
19940806,180219.20,Bergen,52.654,4.711,2.5,3.0,manual
19940816,143739.85,Anloo,53.061,6.698,3.0,2.3,manual
19940907,220604.30,Warffum,53.402,6.575,3.0,1.4,manual
19940909,155654.38,Erica,52.714,6.915,3.0,1.7,manual
19940921,011258.13,Bergen,52.658,4.708,2.5,3.2,manual
19940923,195000.00,Schoonebeek,52.67,6.88,3.0,1.3,manual
19941026,214101.83,Luddeweer,53.246,6.737,3.0,1.2,manual
19941213,215046.58,Overschild,53.282,6.815,3.0,1.0,manual
19950124,093839.19,Delfzijl,53.316,6.897,3.0,1.3,manual
19950131,194755.62,Annen,53.063,6.72,3.0,2.0,manual
19950201,003132.00,Nieuw Annerveen,53.079,6.775,3.0,1.2,manual
19950321,163744.34,Eems-Dollard (nabij Eemshaven),53.438,6.913,3.0,1.1,manual
19950406,080343.45,Huizinge,53.36,6.68,3.0,2.0,manual
19950426,173549.64,Zuidlaren,53.084,6.668,3.0,0.7,manual
19950515,095239.35,Meedhuizen,53.309,6.945,3.0,1.8,manual
19950603,220638.20,Tolbert,53.19,6.358,3.0,0.9,manual
19950620,085940.12,Roswinkel,52.832,7.03,2.0,2.7,manual
19950715,160539.14,Slochteren,53.206,6.823,3.0,1.0,manual
19950721,232440.48,Farmsum,53.276,6.963,3.0,1.1,manual
19950913,213436.83,Loppersum,53.335,6.728,3.0,1.1,manual
19951018,003427.36,Peize,53.129,6.492,3.0,1.3,manual
19951102,010700.71,Westeremden,53.352,6.718,3.0,1.6,manual
19951104,055043.21,Uithuizermeeden,53.47,6.722,3.0,1.8,manual
19951120,022054.73,Garrelsweer,53.315,6.762,3.0,1.1,manual
19951224,132634.16,Jisp,52.511,4.847,3.0,2.3,manual
19951230,020408.94,Roswinkel,52.845,7.048,3.0,1.2,manual
19960212,140224.24,Overschild,53.256,6.767,3.0,0.9,manual
19960224,033107.56,Emmen,52.761,6.908,3.0,1.8,manual
19960225,135509.30,Roswinkel,52.838,7.062,1.5,0.9,manual
19960229,080734.42,Middelstum,53.343,6.64,3.0,2.0,manual
19960306,092050.20,Roswinkel,52.838,7.062,1.5,1.6,manual
19960312,005144.67,Nieuw Annerveen,53.064,6.79,3.0,1.1,manual
19960312,121348.17,Roswinkel,52.838,7.059,2.0,2.6,manual
19960312,183412.68,Zeegse,53.072,6.653,3.0,0.8,manual
19960314,222358.30,Roswinkel,52.838,7.064,2.0,1.1,manual
19960316,041632.77,Appingedam,53.298,6.848,3.0,1.4,manual
19960321,181905.48,Roswinkel,52.833,7.054,2.0,1.8,manual
19960401,185345.19,Amen,52.94,6.608,3.0,0.6,manual
19960401,232818.39,Nieuw Annerveen,53.067,6.79,3.0,0.1,manual
19960409,135834.43,Eexterveen,53.059,6.798,3.0,1.1,manual
19960415,034131.20,Ten Boer,53.289,6.688,3.0,0.9,manual
19960417,190512.18,Holwierde,53.357,6.883,3.0,0.9,manual
19960421,213602.32,Rottum,53.376,6.595,3.0,0.5,manual
19960425,232220.44,Holwierde,53.356,6.863,3.0,0.9,manual
19960607,042056.64,Annerveenschekanaal,53.085,6.78,3.0,1.2,manual
19960607,083407.01,Garrelsweer,53.309,6.778,3.0,1.3,manual
19960607,145910.82,Wildervank,53.082,6.832,3.0,0.7,manual
19960616,025327.88,Geelbroek,52.947,6.568,3.0,1.7,manual
19960703,214007.16,Eexterveen,53.053,6.803,3.0,0.8,manual
19960804,004217.83,Wachtum,52.724,6.738,3.0,1.6,manual
19960806,133827.76,Emmen,52.755,6.917,3.0,1.6,manual
19960809,023145.71,Schipborg,53.057,6.688,3.0,0.3,manual
19960809,063847.14,Farmsum,53.287,6.958,3.0,1.6,manual
19960811,011016.25,Laar (Duitsland),52.601,6.782,3.0,0.7,manual
19960825,222411.14,Geelbroek,52.945,6.57,3.0,1.7,manual
19960902,052051.92,Roden,53.147,6.422,3.0,2.1,manual
19961016,050900.10,Amen,52.941,6.61,3.0,1.3,manual
19961116,033349.87,Zeerijp,53.355,6.755,3.0,1.3,manual
19961117,045952.05,Wachtum,52.724,6.732,3.0,2.2,manual
19961130,202657.95,Nietap,53.165,6.41,3.0,1.0,manual
19961206,164648.00,Roswinkel,52.835,7.053,1.5,1.6,manual
19961216,160115.16,Wildervank,53.072,6.815,3.0,0.5,manual
19961216,160650.21,Wildervank,53.078,6.822,3.0,-0.1,manual
19961226,195205.57,Overschild,53.261,6.765,3.0,-0.2,manual
19961228,005408.57,Bunne,53.107,6.505,3.0,1.9,manual
19961228,181656.58,Roswinkel,52.834,7.043,2.0,2.7,manual
19961228,233946.90,Bunne,53.111,6.502,3.0,1.8,manual
19970108,012054.49,Westeremden,53.338,6.713,3.0,1.5,manual
19970114,211340.62,Ekehaar,52.943,6.577,3.0,0.7,manual
19970116,001247.39,Roswinkel,52.835,7.046,2.0,2.4,manual
19970124,040004.54,Zuidlaren,53.079,6.678,3.0,0.6,manual
19970217,072055.23,Zijldijk,53.387,6.752,3.0,1.6,manual
19970217,111600.47,Geelbroek,52.947,6.568,3.0,1.2,manual
19970219,215350.81,Roswinkel,52.832,7.038,2.0,3.4,manual
19970226,193122.43,Laar (Duitsland),52.642,6.803,3.0,1.2,manual
19970302,152532.54,Pieterzijl,53.288,6.267,3.0,1.3,manual
19970308,142904.28,Borgercompagnie,53.106,6.815,3.0,-0.8,manual
19970325,001307.74,Overschild,53.252,6.748,3.0,-0.2,manual
19970401,003419.04,Emmen,52.768,6.873,3.0,1.4,manual
19970409,222143.97,Noordbroek,53.2,6.865,3.0,0.5,manual
19970417,202802.90,Roswinkel,52.834,7.053,2.0,0.8,manual
19970429,181646.34,Schildwolde,53.249,6.803,3.0,1.4,manual
19970504,024239.74,Meedhuizen,53.3,6.93,3.0,1.1,manual
19970504,042909.85,Hoogezand,53.144,6.737,3.0,0.8,manual
19970519,154359.09,Roswinkel,52.836,7.053,2.0,1.3,manual
19970606,193918.88,Tjuchem,53.292,6.875,3.0,1.2,manual
19970619,231925.56,Zeerijp,53.364,6.753,3.0,1.8,manual
19970620,004537.70,Roswinkel,52.831,7.055,2.0,1.8,manual
19970621,003033.08,Zuidlaarderveen,53.094,6.752,3.5,1.9,manual
19970709,062312.06,Roswinkel,52.833,7.053,2.0,1.2,manual
19970717,025629.71,Annen,53.061,6.717,3.0,-0.7,manual
19970723,064436.04,Overschild,53.247,6.753,3.0,1.2,manual
19970818,044228.77,Roswinkel,52.834,7.05,2.0,1.6,manual
19970818,051732.25,Roswinkel,52.834,7.05,2.0,2.1,manual
19970822,102708.85,Eexterveen,53.063,6.813,3.0,0.2,manual
19970823,000156.53,Eexterveen,53.063,6.813,3.0,0.6,manual
19970823,193935.04,Lageland,53.239,6.683,3.0,1.6,manual
19970913,213041.02,Loppersum,53.338,6.747,3.0,1.1,manual
19970914,193902.59,Annen,53.045,6.74,3.0,0.4,manual
19971101,225625.87,Uithuizen,53.427,6.705,3.0,1.4,manual
19971103,181248.77,Donderen,53.108,6.513,3.0,1.4,manual
19971104,195501.94,Wirdum,53.328,6.793,3.0,1.7,manual
19971115,162232.14,Borgercompagnie,53.104,6.822,3.0,0.3,manual
19971120,173521.04,Slochteren,53.206,6.792,3.0,1.2,manual
19971126,023537.01,Overschild,53.254,6.765,3.0,0.2,manual
19971203,144719.71,Tjuchem,53.279,6.897,3.0,1.8,manual
19971203,150103.65,Siddeburen,53.244,6.858,3.0,1.3,manual
19971207,070244.49,Zuidlaren,53.075,6.702,3.0,0.3,manual
19971223,062132.11,Farmsum,53.316,7.015,3.0,1.3,manual
19980108,081145.26,Amen,52.937,6.597,3.0,1.2,manual
19980122,103155.15,Assen,52.984,6.547,3.5,1.1,manual
19980128,213303.84,Roswinkel,52.833,7.042,2.0,2.7,manual
19980128,223404.37,Roswinkel,52.833,7.037,2.0,2.0,manual
19980131,083939.26,Overschild,53.236,6.745,3.0,0.7,manual
19980205,211149.34,Meedhuizen,53.291,6.935,3.0,1.1,manual
19980215,072416.42,Zeerijp,53.356,6.773,3.0,2.6,manual
19980329,060640.52,Loppersum,53.345,6.73,3.0,1.3,manual
19980419,080012.08,Loppersum,53.339,6.723,3.0,1.5,manual
