time [yr], extraction rate [kg/s]
1980.0417,   0.0084
1980.1250,   0.0089
1980.2083,   0.0094
1980.2917,   0.0100
1980.3750,   0.0112
1980.4583,   0.0115
1980.5417,   0.0120
1980.6250,   0.0135
1980.7083,   0.0141
1980.7917,   0.0156
1980.8750,   0.0165
1980.9583,   0.0181
1981.0417,   0.0196
1981.1250,   0.0211
1981.2083,   0.0237
1981.2917,   0.0258
1981.3750,   0.0285
1981.4583,   0.0286
1981.5417,   0.0318
1981.6250,   0.0320
1981.7083,   0.0361
1981.7917,   0.0376
1981.8750,   0.0417
1981.9583,   0.0437
1982.0417,   0.0514
1982.1250,   0.0557
1982.2083,   0.0611
1982.2917,   0.0686
1982.3750,   0.0715
1982.4583,   0.0766
1982.5417,   0.0838
1982.6250,   0.0954
1982.7083,   0.1068
1982.7917,   0.1172
1982.8750,   0.1300
1982.9583,   0.1434
1983.0417,   0.1539
1983.1250,   0.1639
1983.2083,   0.1767
1983.2917,   0.1871
1983.3750,   0.2016
1983.4583,   0.2339
1983.5417,   0.2439
1983.6250,   0.2696
1983.7083,   0.3082
1983.7917,   0.3177
1983.8750,   0.3463
1983.9583,   0.3462
1984.0417,   0.3819
1984.1250,   0.3937
1984.2083,   0.4338
1984.2917,   0.4477
1984.3750,   0.4893
1984.4583,   0.5318
1984.5417,   0.5842
1984.6250,   0.5918
1984.7083,   0.6811
1984.7917,   0.7548
1984.8750,   0.7843
1984.9583,   0.9054
1985.0417,   0.9582
1985.1250,   1.0757
1985.2083,   1.1204
1985.2917,   1.2189
1985.3750,   1.2998
1985.4583,   1.4250
1985.5417,   1.4889
1985.6250,   1.5192
1985.7083,   1.6850
1985.7917,   1.7364
1985.8750,   1.8438
1985.9583,   1.9656
1986.0417,   1.9328
1986.1250,   1.9835
1986.2083,   2.1098
1986.2917,   2.3198
1986.3750,   2.4296
1986.4583,   2.5248
1986.5417,   2.6648
1986.6250,   2.6217
1986.7083,   2.6477
1986.7917,   2.8191
1986.8750,   2.9833
1986.9583,   3.1692
1987.0417,   3.4759
1987.1250,   3.5358
1987.2083,   3.8184
1987.2917,   3.8043
1987.3750,   4.0249
1987.4583,   3.9830
1987.5417,   4.1956
1987.6250,   4.2750
1987.7083,   4.2714
1987.7917,   4.4184
1987.8750,   4.6731
1987.9583,   4.6707
1988.0417,   4.6045
1988.1250,   4.4402
1988.2083,   4.6396
1988.2917,   4.8314
1988.3750,   4.8055
1988.4583,   4.8173
1988.5417,   4.9527
1988.6250,   5.0178
1988.7083,   4.9668
1988.7917,   4.8153
1988.8750,   4.9575
1988.9583,   4.9309
1989.0417,   5.0410
1989.1250,   5.0296
1989.2083,   5.2658
1989.2917,   5.0000
1989.3750,   5.2974
1989.4583,   5.0926
1989.5417,   5.1073
1989.6250,   5.1078
1989.7083,   5.1929
1989.7917,   5.1305
1989.8750,   4.9358
1989.9583,   5.0047
1990.0417,   5.0747
1990.1250,   5.2102
1990.2083,   5.1205
1990.2917,   5.1886
1990.3750,   5.0778
1990.4583,   5.0832
1990.5417,   5.3616
1990.6250,   5.1990
1990.7083,   5.4500
1990.7917,   5.2144
1990.8750,   5.3233
1990.9583,   5.3042
1991.0417,   5.3274
1991.1250,   5.2638
1991.2083,   5.0948
1991.2917,   5.1417
1991.3750,   5.2357
1991.4583,   5.3087
1991.5417,   5.3637
1991.6250,   5.1146
1991.7083,   5.1169
1991.7917,   5.3707
1991.8750,   5.5852
1991.9583,   5.3949
1992.0417,   5.7298
1992.1250,   5.7611
1992.2083,   5.5126
1992.2917,   5.5417
1992.3750,   5.4224
1992.4583,   5.2539
1992.5417,   5.4474
1992.6250,   5.5728
1992.7083,   5.5734
1992.7917,   5.6170
1992.8750,   5.7102
1992.9583,   5.8492
1993.0417,   5.7878
1993.1250,   6.1033
1993.2083,   6.2258
1993.2917,   5.9771
1993.3750,   6.2653
1993.4583,   6.0834
1993.5417,   6.4283
1993.6250,   6.3172
1993.7083,   6.7441
1993.7917,   6.6172
1993.8750,   6.9967
1993.9583,   6.9550
1994.0417,   6.9149
1994.1250,   7.3415
1994.2083,   7.0796
1994.2917,   7.2918
1994.3750,   7.3769
1994.4583,   7.1461
1994.5417,   7.0883
1994.6250,   6.9870
1994.7083,   6.9549
1994.7917,   7.0411
1994.8750,   6.9090
1994.9583,   6.9354
1995.0417,   7.2521
1995.1250,   7.3786
1995.2083,   7.0835
1995.2917,   7.3646
1995.3750,   7.3623
1995.4583,   7.8511
1995.5417,   7.7244
1995.6250,   7.6866
1995.7083,   7.5674
